30/08/2016,16:44:16.082000
1
 	Служебный канал	Напряжение статора	Ток статора	Активная мощность	Реактивная мощность	Активный ток	
279	-666,7	-666,7	0,0	-574,6	0,0	0,0	
280	-666,7	-666,7	0,0	-574,6	0,0	0,0	
281	-666,7	-666,7	0,0	-574,6	0,0	0,0	
282	-666,7	-666,7	0,0	-574,6	0,0	0,0	
283	-666,7	-666,7	0,0	-574,6	0,0	0,0	
284	-670,3	-670,3	0,0	-574,6	0,0	0,0	
285	-666,7	-666,7	0,0	-574,6	0,0	0,0	
286	-666,7	-666,7	0,0	-574,6	0,0	0,0	
287	-666,7	-666,7	0,0	-574,6	0,0	0,0	
288	-666,7	-666,7	0,0	-574,6	0,0	0,0	
289	-673,8	-673,8	0,0	-574,6	0,0	0,0	
290	-670,2	-670,2	0,0	-574,6	0,0	0,0	
291	-670,3	-670,3	0,0	-574,6	0,0	0,0	
292	-670,3	-670,3	0,0	-574,6	0,0	0,0	
293	-670,2	-670,2	0,0	-574,6	0,0	0,0	
294	-673,9	-673,9	0,0	-574,6	0,0	0,0	
295	-669,8	-669,8	0,0	-574,6	0,0	0,0	
296	-666,7	-666,7	0,0	-574,6	0,0	0,0	
297	-669,8	-669,8	0,0	-574,6	0,0	0,0	
298	-669,8	-669,8	0,0	-574,6	0,0	0,0	
299	-666,7	-666,7	0,0	-574,6	0,0	0,0	
300	-666,7	-666,7	0,0	-574,6	0,0	0,0	
301	-669,8	-669,8	0,0	-574,6	0,0	0,0	
302	-666,7	-666,7	0,0	-574,6	0,0	0,0	
303	-666,7	-666,7	0,0	-574,6	0,0	0,0	
304	-666,7	-666,7	0,0	-574,6	0,0	0,0	
305	-666,7	-666,7	0,0	-574,6	0,0	0,0	
306	-676,4	-676,4	0,0	-574,6	0,0	0,0	
307	-666,7	-666,7	0,0	-574,6	0,0	0,0	
308	-666,7	-666,7	0,0	-574,6	0,0	0,0	
309	-673,0	-673,0	0,0	-574,6	0,0	0,0	
310	-666,7	-666,7	0,0	-574,6	0,0	0,0	
311	-666,7	-666,7	0,0	-574,6	0,0	0,0	
312	-669,8	-669,8	0,0	-574,6	0,0	0,0	
313	-670,2	-670,2	0,0	-574,6	0,0	0,0	
314	-670,2	-670,2	0,0	-574,6	0,0	0,0	
315	-666,7	-666,7	0,0	-574,6	0,0	0,0	
316	-666,7	-666,7	0,0	-574,6	0,0	0,0	
317	-666,7	-666,7	0,0	-574,6	0,0	0,0	
318	-669,8	-669,8	0,0	-574,6	0,0	0,0	
319	-666,7	-666,7	0,0	-574,6	0,0	0,0	
320	-666,7	-666,7	0,0	-574,6	0,0	0,0	
321	-670,2	-670,2	0,0	-574,6	0,0	0,0	
322	-666,7	-666,7	0,0	-574,6	0,0	0,0	
323	-666,7	-666,7	0,0	-574,6	0,0	0,0	
324	-666,7	-666,7	0,0	-574,6	0,0	0,0	
325	-666,7	-666,7	0,0	-574,6	0,0	0,0	
326	-670,2	-670,2	0,0	-574,6	0,0	0,0	
327	-666,7	-666,7	0,0	-574,6	0,0	0,0	
328	-663,2	-663,2	0,0	-574,6	0,0	0,0	
329	-670,2	-670,2	0,0	-574,6	0,0	0,0	
330	-670,2	-670,2	0,0	-574,6	0,0	0,0	
331	-673,3	-673,3	0,0	-574,6	0,0	0,0	
332	-670,2	-670,2	0,0	-574,6	0,0	0,0	
333	-666,7	-666,7	0,0	-574,6	0,0	0,0	
334	-670,2	-670,2	0,0	-574,6	0,0	0,0	
335	-666,7	-666,7	0,0	-574,6	0,0	0,0	
336	-670,2	-670,2	0,0	-574,6	0,0	0,0	
337	-666,7	-666,7	0,0	-574,6	0,0	0,0	
338	-666,7	-666,7	0,0	-574,6	0,0	0,0	
339	-666,7	-666,7	0,0	-574,6	0,0	0,0	
340	-666,7	-666,7	0,0	-574,6	0,0	0,0	
341	-666,7	-666,7	0,0	-574,6	0,0	0,0	
342	-666,7	-666,7	0,0	-574,6	0,0	0,0	
343	-670,7	-670,7	0,0	-574,6	0,0	0,0	
344	-666,7	-666,7	0,0	-574,6	0,0	0,0	
345	-666,7	-666,7	0,0	-574,6	0,0	0,0	
346	-663,2	-663,2	0,0	-574,6	0,0	0,0	
347	-666,7	-666,7	0,0	-574,6	0,0	0,0	
348	-663,0	-663,0	0,0	-574,6	0,0	0,0	
349	-666,7	-666,7	0,0	-574,6	0,0	0,0	
350	-666,7	-666,7	0,0	-574,6	0,0	0,0	
351	-666,7	-666,7	0,0	-574,6	0,0	0,0	
352	-666,7	-666,7	0,0	-574,6	0,0	0,0	
353	-666,7	-666,7	0,0	-574,6	0,0	0,0	
354	-666,7	-666,7	0,0	-574,6	0,0	0,0	
355	-666,7	-666,7	0,0	-574,6	0,0	0,0	
356	-663,0	-663,0	0,0	-574,6	0,0	0,0	
357	-670,3	-670,3	0,0	-574,6	0,0	0,0	
